Date,Molecular Total,Molecular New,Molecular Positive New,Molecular Missing,Serology Total,Serology New,Serology Positive New
3/10/2020,439,105,14,,2,0,0
3/11/2020,613,174,22,,2,0,0
3/12/2020,1031,418,29,,2,0,0
3/13/2020,1971,940,61,,2,0,0
3/14/2020,2873,902,73,,2,0,0
3/15/2020,3905,1032,68,,2,0,0
3/16/2020,6054,2149,150,,2,0,0
3/17/2020,8740,2686,249,,2,0,0
3/18/2020,11733,2993,259,,2,0,0
3/19/2020,14635,2902,277,,2,0,0
3/20/2020,18285,3650,388,,2,0,0
3/21/2020,20818,2533,320,,2,0,0
3/22/2020,22715,1897,286,,2,0,0
3/23/2020,26502,3787,608,,2,0,0
3/24/2020,30502,4000,716,,2,0,0
3/25/2020,34606,4104,744,,2,0,0
3/26/2020,39029,4423,935,,2,0,0
3/27/2020,43405,4376,943,,2,0,0
3/28/2020,46213,2808,655,,2,0,0
3/29/2020,48293,2080,523,,2,0,0
3/30/2020,53358,5065,1236,,2,0,0
3/31/2020,58608,5250,1266,,2,0,0
4/1/2020,63544,4936,1338,,2,0,0
4/2/2020,68785,5241,1280,,4,2,0
4/3/2020,74564,5779,1481,,4,0,0
4/4/2020,78567,4003,1163,,8,4,1
4/5/2020,82002,3435,976,,8,0,0
4/6/2020,88696,6694,1933,,12,4,0
4/7/2020,95303,6607,2026,,16,4,0
4/8/2020,102131,6828,1867,,18,2,0
4/9/2020,108613,6482,1986,,41,23,3
4/10/2020,116276,7663,2060,,41,0,0
4/11/2020,120665,4389,1298,,42,1,0
4/12/2020,123774,3109,930,,45,3,2
4/13/2020,130137,6363,2001,,53,8,0
4/14/2020,139933,9796,2875,,62,9,2
4/15/2020,149953,10020,2601,,70,8,2
4/16/2020,158930,8977,2388,,91,21,0
4/17/2020,170126,11196,3007,,171,80,5
4/18/2020,176225,6099,1481,,179,8,3
4/19/2020,180840,4615,1091,,189,10,1
4/20/2020,191723,10883,2699,,252,63,6
4/21/2020,201262,9539,2200,,328,76,11
4/22/2020,213882,12620,2718,,475,147,17
4/23/2020,224799,10917,2418,,949,474,31
4/24/2020,237210,12411,2280,,1848,899,82
4/25/2020,245540,8330,1498,,2335,487,25
4/26/2020,250444,4904,849,,2791,456,37
4/27/2020,261497,11053,2126,,3931,1140,78
4/28/2020,273849,12352,2113,,5353,1422,83
4/29/2020,286543,12694,2186,,7065,1712,119
4/30/2020,300476,13933,2053,,8431,1366,115
5/1/2020,314734,14258,2087,,10188,1757,124
5/2/2020,322127,7393,1038,,10782,594,56
5/3/2020,327221,5094,731,,11184,402,42
5/4/2020,339486,12265,1889,,13158,1974,159
5/5/2020,352248,12762,1742,,15080,1922,154
5/6/2020,365668,13420,1715,,16986,1906,180
5/7/2020,379306,13638,1701,,18992,2006,171
5/8/2020,392802,13496,1466,,20833,1841,135
5/9/2020,398667,5865,685,,21450,617,38
5/10/2020,401853,3186,389,,21802,352,77
5/11/2020,413802,11949,1317,,23607,1805,160
5/12/2020,427131,13329,1462,,25451,1844,148
5/13/2020,440985,13854,1332,,27102,1651,164
5/14/2020,454443,13458,1320,,28671,1569,163
5/15/2020,468085,13642,1123,,30262,1591,142
5/16/2020,475203,7118,661,,30793,531,51
5/17/2020,479465,4262,378,115,31148,355,54
5/18/2020,492830,13365,1327,1,32726,1578,136
5/19/2020,505170,12340,1097,0,34375,1649,164
5/20/2020,518034,12864,1033,0,36009,1634,145
5/21/2020,529970,11936,1002,0,37598,1589,188
5/22/2020,541032,11062,885,0,39177,1579,157
5/23/2020,545950,4918,394,0,39583,406,40
5/24/2020,550070,4120,307,0,39888,305,40
5/25/2020,553205,3135,204,0,40213,325,49
5/26/2020,564550,11345,890,0,41673,1460,127
5/27/2020,574826,10276,724,0,43066,1393,151
5/28/2020,584218,9392,660,0,44298,1232,172
5/29/2020,594318,10100,543,0,45565,1267,138
5/30/2020,600127,5809,281,0,45809,244,33
5/31/2020,603822,3695,177,0,45983,174,36
6/1/2020,612999,9177,517,0,47044,1061,149
6/2/2020,621731,8732,431,0,48069,1025,84
6/3/2020,628868,7137,334,0,48963,894,90
6/4/2020,630987,2119,113,0,49556,593,46
6/5/2020,631008,21,1,0,,,
